Word,P1,P2,P3,P4,P5,P6
ip,ɪ/p,,,,,
ga,g/eɪ,g/æ,,,,
ko,k/oʊ,k/ɑ,,,,
ta,t/ɔ,t/æ,t/eɪ,,,
om,ɑ/m,,,,,
ig,ɪ/g,,,,,
ni,n/ɪ,n/aɪ,,,,
pim,p/ɪ/m,,,,,
wum,w/ʌ/m,,,,,
lat,l/æ/t,,,,,
baf,b/æ/f,,,,,
din,d/ɪ/n,,,,,
nup,n/ʌ/p,,,,,
fet,f/ɛ/t,,,,,
bave,b/eɪ/v,,,,,
pate,p/eɪ/t,,,,,
herm,h/ɚ/m,,,,,
dess,d/ɛ/s,,,,,
chur,tʃ/ɚ,,,,,
knap,n/æ/p,,,,,
tive,t/aɪ/v,,,,,
barp,b/ɑ/ɚ/p,,,,,
stip,s/t/ɪ/p,,,,,
plin,p/l/ɪ/n,,,,,
frip,f/r/ɪ/p,,,,,
poth,p/ɑ/θ,,,,,
vasp,v/æ/s/p,,,,,
meest,m/i/s/t,,,,,
shlee,ʃ/l/i,,,,,
guddy,g/ʌ/d/i,,,,,
skree,s/k/r/i,,,,,
felly,f/ɛ/l/i,,,,,
clirt,k/l/ɚ/t,,,,,
sline,s/l/aɪ/n,,,,,
dreef,d/r/i/f,,,,,
prain,p/r/eɪ/n,,,,,
zint,z/ɪ/n/t,,,,,
bloot,b/l/u/t,,,,,
trisk,t/r/ɪ/s/k,,,,,
kelm,k/ɛ/l/m,,,,,
strone,s/t/r/oʊ/n,,,,,
lunaf,l/u/n/æ/f,l/ʌ/n/æ/f,,,,
cratty,k/r/æ/t/i,,,,,
trober,t/r/o/u/b/ɚ,,,,,
depate,d/i/p/eɪ/t,d/ɛ/p/eɪ/t,,,,
glant,g/l/æ/n/t,,,,,
sploosh,s/p/l/u/ʃ,s/p/l/ʊ/ʃ,,,,
dreker,d/r/ɛ/k/ɚ,d/r/i/k/ɚ,,,,
ritlun,r/ɪ/t/l/ə/n,,,,,
hedfert,h/ɛ/d/f/ɚ/t,,,,,
bremick,b/r/i/m/ɪ/k,b/r/ɛ/m/ɪ/k,,,,
nifpate,n/ɪ/f/p/eɪ/t,,,,,
brinbert,b/r/ɪ/n/b/ɚ/t,,,,,
clabom,k/l/eɪ/b/ɑ/m,k/l/æ/b/ɑ/m,,,,
drepnort,d/r/ɛ/p/n/o/ɚ/t,,,,,
shrattec,ʃ/r/æ/t/ə/k,,,,,
plofent,p/l/oʊ/f/ɛ/n/t,p/l/ɑ/f/ɛ/n/t,,,,
smucrit,s/m/ʌ/k/r/ɪ/t,s/m/j/ʊ/k/r/ɪ/t,,,,
pelnador,p/ɛ/l/n/æ/d/o/ɚ,p/ɛ/l/n/ə/d/o/ɚ,p/ɛ/l/n/ɪ/d/o/ɚ,p/ɛ/l/n/æ/d/ɚ,p/ɛ/l/n/ə/d/ɚ,p/ɛ/l/n/ɪ/d/ɚ
fornalask,f/o/ɚ/n/æ/l/æ/s/k,f/o/ɚ/n/ɪ/l/æ/s/k,f/o/ɚ/n/ə/l/æ/s/k,,,
fermabalt,f/ɚ/m/æ/b/æ/l/t,f/ɚ/m/ɪ/b/æ/l/t,f/ɚ/m/ə/b/æ/l/t,f/ɚ/m/æ/b/ɔ/l/t,f/ɚ/m/ɪ/b/ɔ/l/t,f/ɚ/m/ə/b/ɔ/l/t
crenidmoke,k/r/ɛ/n/ɪ/d/m/oʊ/k,k/r/i/n/ɪ/d/m/oʊ/k,,,,
emulbatate,i/m/ə/l/b/æ/t/ə/ɪ/t,ɛ/m/ə/l/b/æ/t/ə/ɪ/t,i/m/ə/l/b/ɪ/t/ə/ɪ/t,ɛ/m/ə/l/b/ɪ/t/ə/ɪ/t,i/m/ə/l/b/ə/t/ə/ɪ/t,ɛ/m/ə/l/b/ə/t/ə/ɪ/t
strotalanted,s/t/r/oʊ/t/ʌ/l/æ/n/t/ɛ/d,s/t/r/ɑ/t/ʌ/l/æ/n/t/ɛ/d,s/t/r/oʊ/t/ɪ/l/æ/n/t/ɛ/d,s/t/r/ɑ/t/ɪ/l/æ/n/t/ɛ/d,s/t/r/oʊ/t/æ/l/æ/n/t/ɛ/d,s/t/r/ɑ/t/æ/l/æ/n/t/ɛ/d
prilingdorfent,p/r/aɪ/l/ɪ/ŋ/d/o/ɚ/f/ɛ/n/t,p/r/ɪ/l/ɪ/ŋ/d/o/ɚ/f/ɛ/n/t,,,,
chunfendilt,tʃ/ʌ/n/f/ɛ/n/d/ɪ/l/t,,,,,
