Word,P1,P2,P3,P4,P5,P6
mo,m/ɑ,m/oʊ,,,,
ik,ɪ/k,,,,,
pu,p/ʌ,p/j/u,p/ʊ,,,
bi,b/aɪ,b/ɪ,,,,
ib,ɪ/b,,,,,
ku,k/j/u,k/ʌ,,,,
eb,ɛ/b,,,,,
pog,p/ɑ/g,,,,,
dat,d/æ/t,,,,,
mip,m/ɪ/p,,,,,
ral,r/æ/l,,,,,
nas,n/æ/s,,,,,
mib,m/ɪ/b,,,,,
faw,f/ɔ,,,,,
shum,ʃ/ʌ/m,,,,,
bice,b/aɪ/s,,,,,
nade,n/eɪ/d,,,,,
teap,t/i/p,,,,,
derl,d/ɚ/l,,,,,
marl,m/ɑ/ɚ/l,,,,,
berk,b/ɚ/k,,,,,
mest,m/ɛ/s/t,,,,,
stree,s/t/r/i,,,,,
weaf,w/i/f,,,,,
barch,b/ɑ/ɚ/tʃ,,,,,
glack,g/l/æ/k,,,,,
prot,p/r/ɑ/t,,,,,
runk,r/ʌ/ŋ/k,,,,,
loast,l/oʊ/s/t,,,,,
mact,m/æ/k/t,,,,,
blork,b/l/o/ɚ/k,,,,,
phet,f/ɛ/t,,,,,
wogger,w/ɑ/g/ɚ,,,,,
klup,k/l/ʌ/p,,,,,
skad,s/k/æ/d,,,,,
keast,k/i/s/t,,,,,
churt,tʃ/u/ɚ/t,,,,,
glamp,g/l/æ/m/p,,,,,
prait,p/r/eɪ/t,,,,,
flact,f/l/æ/k/t,,,,,
throbe,θ/r/oʊ/b,,,,,
creft,k/r/ɛ/f/t,,,,,
flimp,f/l/ɪ/m/p,,,,,
girtus,g/ɚ/t/ə/s,,,,,
strale,s/t/r/eɪ/l,,,,,
debmer,d/ɛ/b/m/ɚ,,,,,
happon,h/æ/p/p/ɑ/n,h/æ/p/p/ə/n,,,,
framble,f/r/æ/m/b/l,,,,,
progus,p/r/ɑ/g/ʌ/s,p/r/oʊ/g/ʌ/s,,,,
supken,s/ʌ/p/k/ɛ/n,s/ʌ/p/k/ʌ/n,s/ʌ/p/k/ə/n,,,
jeltlic,dʒ/ɛ/l/t/l/ɪ/c,,,,,
tegwop,t/ɛ/g/w/ɑ/p,,,,,
slinperk,s/l/ɪ/n/p/ɚ/k,,,,,
plinders,p/l/ɪ/n/d/ɚ/s,,,,,
thundelp,θ/ʌ/n/d/ɛ/l/p,,,,,
bramtich,b/r/æ/m/t/ɪ/tʃ,,,,,
chimdruff,tʃ/ɪ/m/d/r/ə/f,,,,,
darlankert,d/ɑ/ɚ/l/æ/n/k/ɚ/t,d/ɑ/ɚ/l/ə/n/k/ɚ/t,,,,
stremfick,s/t/r/ɛ/m/f/ɪ/k,,,,,
morlingdon,m/o/ɚ/l/i/ŋ/d/ə/n,m/o/ɚ/l/i/ŋ/d/ɑ/n,,,,
revignuf,r/i/v/ɪ/g/n/ə/f,r/i/v/ə/g/n/ə/f,r/ɛ/v/ɪ/g/n/ə/f,r/ɛ/v/ə/g/n/ə/f,,
obsorfelm,oʊ/b/s/o/ɚ/f/ɛ/l/m,ɑ/b/s/o/ɚ/f/ɛ/l/m,oʊ/b/s/ɚ/f/ɛ/l/m,ɑ/b/s/ɚ/f/ɛ/l/m,,
pitocrant,p/aɪ/t/oʊ/k/r/æ/n/t,p/aɪ/t/ɑ/k/r/æ/n/t,p/aɪ/t/ə/k/r/æ/n/t,p/ɪ/t/oʊ/k/r/æ/n/t,p/ɪ/t/ɑ/k/r/æ/n/t,p/ɪ/t/ə/k/r/æ/n/t
glimpobot,g/l/ɪ/m/p/o/b/ɑ/t,g/l/ɪ/m/p/oʊ/b/ɑ/t,,,,
strilmolifant,s/t/r/ɪ/l/m/oʊ/l/ɪ/f/æ/n/t,s/t/r/ɪ/l/m/ɑ/l/ɪ/f/æ/n/t,s/t/r/ɪ/l/m/oʊ/l/ʌ/f/æ/n/t,s/t/r/ɪ/l/m/ɑ/l/ʌ/f/æ/n/t,,
bormorint,b/o/ɚ/m/o/ɚ/ɪ/n/t,,,,,
