Word,P1,P2,P3,P4,P5,P6
mi,m/ɪ,m/aɪ,,,,
ak,æ/k,,,,,
fu,f/ʌ,f/j/u,f/ʊ,,,
pi,p/aɪ,p/ɪ,,,,
ot,ɑ/t,,,,,
di,d/ɪ,d/aɪ,,,,
ef,ɛ/f,,,,,
pom,p/ɑ/m,,,,,
dut,d/ʌ/t,,,,,
mim,m/ɪ/m,,,,,
sal,s/æ/l,,,,,
pas,p/æ/s,,,,,
mub,m/ʌ/b,,,,,
daw,d/ɑ/w,,,,,
chif,tʃ/i/f,,,,,
gice,g/aɪ/s,,,,,
sade,s/ɛ/d,,,,,
feap,f/i/p,,,,,
terl,t/ɝ/l,,,,,
varm,v/ɑ/ɝ/m,,,,,
zerk,z/ɝ/k,,,,,
munt,m/ʌ/n/t,,,,,
stral,s/t/r/æ/l,,,,,
heaf,h/i/f,,,,,
nirch,n/ɝ/tʃ,,,,,
grack,g/r/æ/k,,,,,
frot,f/r/ɑ/t,,,,,
jirt,dʒ/ɝ/t,,,,,
soast,s/oʊ/s/t,,,,,
bact,b/æ/k/t,,,,,
plork,p/l/ɝ/k,,,,,
phen,f/ɛ/n,,,,,
mogger,m/ɑ/g/ɝ,,,,,
flup,f/l/ʌ/p,,,,,
skaf,s/k/æ/f,,,,,
deast,d/i/s/t,,,,,
chort,tʃ/ɝ/t,,,,,
glist,g/l/ɪ/s/t,,,,,
flait,f/l/ɛ/t,,,,,
plact,p/l/æ/k/t,,,,,
throfe,θ/r/ɔ/f,,,,,
crift,k/r/ɪ/f/t,,,,,
flunt,f/l/ʌ/n/t,,,,,
mirtus,m/ɝ/t/ʌ/s,,,,,
strame,s/t/r/ɛ/m,,,,,
fisner,f/ɪ/s/n/ɝ,,,,,
jickfen,dʒ/ɪ/k/f/ɛ/n,,,,,
frimble,f/r/ɪ/m/b/ʌ/l,,,,,
pridus,p/r/aɪ/d/ʌ/s,p/r/ɪ/d/ʌ/s,,,,
mubkan,m/ʌ/b/k/æ/n,,,,,
wultlac,w/ʌ/l/t/l/æ/k,,,,,
bemwip,b/ɛ/m/w/ɪ/p,,,,,
slunbort,s/l/ʌ/n/b/ɝ/t,,,,,
clinders,k/l/ɪ/n/d/ɝ/s,,,,,
chundelt,tʃ/ʌ/n/d/ɛ/l/t,,,,,
framtich,f/r/æ/m/t/ɪ/tʃ,,,,,
chontriff,tʃ/ɔ/n/t/r/ɪ/f,,,,,
purlunkist,p/ɝ/l/ʌ/n/k/ɪ/s/t,,,,,
stritlork,s/t/r/ɪ/t/l/ɝ/k,,,,,
torlingfen,t/ɝ/l/i/ŋ/f/ɛ/n,,,,,
bevignuf,b/ɪ/v/ɪ/g/n/ʌ/f,b/ɛ/v/ɪ/g/n/ʌ/f,b/ɪ/v/ʌ/g/n/ʌ/f,b/ɛ/v/ʌ/g/n/ʌ/f,,
obsimfest,ɑ/b/s/ɪ/m/f/ɛ/s/t,,,,,
lutacrift,l/ʌ/t/ʌ/k/r/ɪ/f/t,l/u/t/ʌ/k/r/ɪ/f/t,l/ʌ/t/ɪ/k/r/ɪ/f/t,l/u/t/ɪ/k/r/ɪ/f/t,l/ʌ/t/æ/k/r/ɪ/f/t,l/u/t/æ/k/r/ɪ/f/t
vuntilorst,v/ʌ/n/t/ʌ/l/ɝ/s/t,v/ʌ/n/t/ɪ/l/ɝ/s/t,v/ʌ/n/t/æ/l/ɝ/s/t,,,
broganoft,b/r/ɔ/g/æ/n/ɑ/f/t,b/r/ɑ/g/æ/n/ɑ/f/t,,,,
sprotmobon,s/p/r/ɑ/t/m/ɔ/b/ɑ/n,s/p/r/ɔ/t/m/ɔ/b/ɑ/n,s/p/r/ɑ/t/m/ɑ/b/ɑ/n,s/p/r/ɔ/t/m/ɑ/b/ɑ/n,,
