aachen ɑ>aa|k>ch|ɛ>e|n>n
aaron ɛ>aa|r>r|ʌ>o|n>n
ab ʌ>a|b>b
ab æ>a|b>b
ababa ɑ>a|b>b|ʌ>a|b>b|ʌ>a
aback ʌ>a|b>b|æ>a|k>ck
abacus æ>a|b>b|ʌ>a|k>c|ʌ>u|s>s
abad ʌ>a|b>b|ɑ>a|d>d
abalone æ>a|b>b|ʌ>a|l>l|oʊ>o|n>n|i>e
abandon ʌ>a|b>b|æ>a|n>n|d>d|ʌ>o|n>n
abandoned ʌ>a|b>b|æ>a|n>n|d>d|ʌ>o|n>n|d>ed
abandoning ʌ>a|b>b|æ>a|n>n|d>d|ʌ>o|n>n|ɪ>i|ŋ>ng
abandonment ʌ>a|b>b|æ>a|n>n|d>d|ʌ>o|n>n|m>m|ɛ>e|n>n|t>t
abandons ʌ>a|b>b|æ>a|n>n|d>d|ʌ>o|n>n|z>s
abashed ʌ>a|b>b|æ>a|ʃ>sh|t>ed
abate ʌ>a|b>b|eɪ>a|t>te
abated ʌ>a|b>b|eɪ>a|t>t|ɪ>e|d>d
abatement ʌ>a|b>b|eɪ>a|t>te|m>m|ɛ>e|n>n|t>t
abating ʌ>a|b>b|eɪ>a|t>t|ɪ>i|ŋ>ng
abb ʌ>a|b>bb
abba æ>a|b>bb|ʌ>a
abbas ʌ>a|b>bb|ɑ>a|s>s
abbe æ>a|b>bb|i>e
abbeville æ>a|b>bbe|v>v|ɪ>i|l>lle
abbey æ>a|b>bb|i>ey
abbie æ>a|b>bb|i>ie
abbot æ>a|b>bb|ʌ>o|t>t
abbott æ>a|b>bb|ʌ>o|t>tt
abbreviate ʌ>a|b>bb|r>r|i>e|v>v|i>i|eɪ>a|t>te
abbreviated ʌ>a|b>bb|r>r|i>e|v>v|i>i|eɪ>a|t>t|ɪ>e|d>d
abbreviation ʌ>a|b>bb|r>r|i>e|v>v|i>i|eɪ>a|ʃ>ti|ʌ>o|n>n
abbreviations ʌ>a|b>bb|r>r|i>e|v>v|i>i|eɪ>a|ʃ>ti|ʌ>o|n>n|z>s
abby æ>a|b>bb|i>y
abc ʌ>a|b>b|k>c
abdallah æ>a|b>b|d>d|æ>a|l>ll|ʌ>ah
abdel æ>a|b>b|d>d|ɛ>e|l>l
abdicate æ>a|b>b|d>d|ɪ>i|k>c|eɪ>a|t>te
abdicated æ>a|b>b|d>d|ɪ>i|k>c|eɪ>a|t>t|ɛ>e|d>d
abdication æ>a|b>b|d>d|ɪ>i|k>c|eɪ>a|ʃ>ti|ʌ>o|n>n
abdomen æ>a|b>b|d>d|ʌ>o|m>m|ɛ>e|n>n
abdominal æ>a|b>b|d>d|ɑ>o|m>m|ɪ>i|n>n|ʌ>a|l>l
abduct æ>a|b>b|d>d|ʌ>u|k>c|t>t
abducted æ>a|b>b|d>d|ʌ>u|k>c|t>t|ɪ>e|d>d
abduction æ>a|b>b|d>d|ʌ>u|k>c|ʃ>ti|ʌ>o|n>n
abductor æ>a|b>b|d>d|ʌ>u|k>c|t>t|ɝ>or
abdul æ>a|b>b|d>d|u>u|l>l
abdulla ɑ>a|b>b|d>d|u>u|l>ll|ʌ>a
abdullah æ>a|b>b|d>d|ʌ>u|l>ll|ʌ>ah
abe eɪ>a|b>be
abed ʌ>a|b>b|ɛ>e|d>d
abel eɪ>a|b>b|ɛ>e|l>l
abelard æ>a|b>b|ɪ>e|l>l|ɝ>ar|d>d
abell eɪ>a|b>b|ɛ>e|l>ll
abelson æ>a|b>b|ɪ>e|l>l|s>s|ʌ>o|n>n
aber eɪ>a|b>b|ɝ>er
abercrombie æ>a|b>b|ɝ>er|k>c|r>r|ɑ>o|m>m|b>b|i>ie
aberdeen æ>a|b>b|ɝ>er|d>d|i>ee|n>n
abernathy æ>a|b>b|ɝ>er|n>n|æ>a|θ>th|i>y
abernethy æ>a|b>b|ɝ>er|n>n|ɛ>e|θ>th|i>y
aberrant æ>a|b>b|ɛ>e|r>rr|ʌ>a|n>n|t>t
aberration æ>a|b>b|ɝ>err|eɪ>a|ʃ>ti|ʌ>o|n>n
aberrations æ>a|b>b|ɝ>err|eɪ>a|ʃ>ti|ʌ>o|n>n|z>s
abet ʌ>a|b>b|ɛ>e|t>t
abetted ʌ>a|b>b|ɛ>e|t>tt|ɪ>e|d>d
abetting ʌ>a|b>b|ɛ>e|t>tt|ɪ>i|ŋ>ng
abeyance ʌ>a|b>b|eɪ>ey|ʌ>a|n>n|s>ce
abhor æ>a|b>b|h>h|ɔ>o|r>r
abhorred ʌ>a|b>b|h>h|ɔ>o|r>rr|d>ed
abhorrence ʌ>a|b>b|h>h|ɔ>o|r>rr|ɛ>e|n>n|s>ce
abhorrent æ>a|b>b|h>h|ɔ>o|r>rr|ɛ>e|n>n|t>t
abhors ʌ>a|b>b|h>h|ɔ>o|r>r|z>s
abide ʌ>a|b>b|aɪ>i|d>de
abides ʌ>a|b>b|aɪ>i|d>de|z>s
abiding ʌ>a|b>b|aɪ>i|d>d|ɪ>i|ŋ>ng
abigail æ>a|b>b|ɪ>i|g>g|eɪ>ai|l>l
abilene æ>a|b>b|ɪ>i|l>l|i>e|n>ne
abilities ʌ>a|b>b|ɪ>i|l>l|ɪ>i|t>t|i>ie|z>s
ability ʌ>a|b>b|ɪ>i|l>l|ɪ>i|t>t|i>y
abject æ>a|b>b|dʒ>j|ɛ>e|k>c|t>t
ablaze ʌ>a|b>b|l>l|eɪ>a|z>ze
able eɪ>a|b>b|ʌ;l>le
abler eɪ>a|b>b|l>l|ɝ>er
ablest eɪ>a|b>b|l>l|ɛ>e|s>s|t>t
ably eɪ>a|b>b|l>l|i>y
abner æ>a|b>b|n>n|ɝ>er
abnormal æ>a|b>b|n>n|ɔ>o|r>r|m>m|ʌ>a|l>l
abnormalities æ>a|b>b|n>n|ɔ>o|r>r|m>m|æ>a|l>l|ɪ>i|t>t|i>ie|z>s
abnormality æ>a|b>b|n>n|ɔ>o|r>r|m>m|æ>a|l>l|ɪ>i|t>t|i>y
abnormally æ>a|b>b|n>n|ɔ>o|r>r|m>m|ʌ>a|l>ll|i>y
abo ɑ>a|b>b|oʊ>o
aboard ʌ>a|b>b|ɔ>oa|r>r|d>d
abode ʌ>a|b>b|oʊ>o|d>de
abolish ʌ>a|b>b|ɑ>o|l>l|ɪ>i|ʃ>sh
abolished ʌ>a|b>b|ɑ>o|l>l|ɪ>i|ʃ>sh|t>ed
abolishes ʌ>a|b>b|ɑ>o|l>l|ɪ>i|ʃ>sh|ɪ>e|z>s
abolishing ʌ>a|b>b|ɑ>o|l>l|ɪ>i|ʃ>sh|ɪ>i|ŋ>ng
abolition æ>a|b>b|ʌ>o|l>l|ɪ>i|ʃ>ti|ʌ>o|n>n
abolitionism æ>a|b>b|ʌ>o|l>l|ɪ>i|ʃ>ti|ʌ>o|n>n|ɪ>i|z>s|ʌ;m>m
abolitionist æ>a|b>b|ʌ>o|l>l|ɪ>i|ʃ>ti|ʌ>o|n>n|ɪ>i|s>s|t>t
abolitionists æ>a|b>b|ʌ>o|l>l|ɪ>i|ʃ>ti|ʌ>o|n>n|ɪ>i|s>s|t>t|s>s
abominable ʌ>a|b>b|ɑ>o|m>m|ɪ>i|n>n|ʌ>a|b>b|ʌ;l>le
abomination ʌ>a|b>b|ɑ>o|m>m|ɪ>i|n>n|eɪ>a|ʃ>ti|ʌ>o|n>n
aboriginal æ>a|b>b|ɝ>or|ɪ>i|dʒ>g|ɪ>i|n>n|ʌ>a|l>l
aborigine æ>a|b>b|ɝ>or|ɪ>i|dʒ>g|ɪ>i|n>n|i>e
aborigines æ>a|b>b|ɝ>or|ɪ>i|dʒ>g|ɪ>i|n>n|i>e|z>s
abort ʌ>a|b>b|ɔ>o|r>r|t>t
aborted ʌ>a|b>b|ɔ>o|r>r|t>t|ɪ>e|d>d
abortion ʌ>a|b>b|ɔ>o|r>r|ʃ>ti|ʌ>o|n>n
abortions ʌ>a|b>b|ɔ>o|r>r|ʃ>ti|ʌ>o|n>n|z>s
abortive ʌ>a|b>b|ɔ>o|r>r|t>t|ɪ>i|v>ve
abou ʌ>a|b>b|u>ou
abound ʌ>a|b>b|aʊ>ou|n>n|d>d
abounded ʌ>a|b>b|aʊ>ou|n>n|d>d|ɪ>e|d>d
abounding ʌ>a|b>b|aʊ>ou|n>n|d>d|ɪ>i|ŋ>ng
abounds ʌ>a|b>b|aʊ>ou|n>n|d>d|z>s
about ʌ>a|b>b|aʊ>ou|t>t
above ʌ>a|b>b|ʌ>o|v>ve
abraham eɪ>a|b>b|r>r|ʌ>a|h>h|æ>a|m>m
abrahams eɪ>a|b>b|r>r|ʌ>a|h>h|æ>a|m>m|z>s
abram ʌ>a|b>b|r>r|æ>a|m>m
abramowitz ʌ>a|b>b|r>r|ɑ>a|m>m|ʌ>o|w>w|ɪ>i|t>t|s>z
abrams eɪ>a|b>b|r>r|ʌ>a|m>m|z>s
abramson eɪ>a|b>b|r>r|ʌ>a|m>m|s>s|ʌ>o|n>n
abrasion ʌ>a|b>b|r>r|eɪ>a|ʒ>si|ʌ>o|n>n
abrasions ʌ>a|b>b|r>r|eɪ>a|ʒ>si|ʌ>o|n>n|z>s
abrasive ʌ>a|b>b|r>r|eɪ>a|s>s|ɪ>i|v>ve
abrasives ʌ>a|b>b|r>r|eɪ>a|s>s|ɪ>i|v>ve|z>s
abreast ʌ>a|b>b|r>r|ɛ>ea|s>s|t>t
abridge ʌ>a|b>b|r>r|ɪ>i|dʒ>dge
abridged ʌ>a|b>b|r>r|ɪ>i|dʒ>dge|d>d
abril ʌ>a|b>b|r>r|ɪ>i|l>l
abroad ʌ>a|b>b|r>r|ɔ>oa|d>d
abrogate æ>a|b>b|r>r|ʌ>o|g>g|eɪ>a|t>te
abrogated æ>a|b>b|r>r|ʌ>o|g>g|eɪ>a|t>t|ɪ>e|d>d
abrogation æ>a|b>b|r>r|ʌ>o|g>g|eɪ>a|ʃ>ti|ʌ>o|n>n
abrupt ʌ>a|b>b|r>r|ʌ>u|p>p|t>t
abruptly ʌ>a|b>b|r>r|ʌ>u|p>p|t>t|l>l|i>y
abruptness ʌ>a|b>b|r>r|ʌ>u|p>p|t>t|n>n|ɛ>e|s>ss
abs æ>a|b>b|z>s
absalom æ>a|b>b|s>s|ʌ>a|l>l|ʌ>o|m>m
abscess æ>a|b>b|s>sc|ɛ>e|s>ss
absence æ>a|b>b|s>s|ɛ>e|n>n|s>ce
absences æ>a|b>b|s>s|ɛ>e|n>n|s>c|ɪ>e|z>s
absent æ>a|b>b|s>s|ɛ>e|n>n|t>t
absentee æ>a|b>b|s>s|ɛ>e|n>n|t>t|i>ee
absenteeism æ>a|b>b|s>s|ɛ>e|n>n|t>t|i>ee|ɪ>i|z>s|ʌ;m>m
absentees æ>a|b>b|s>s|ɛ>e|n>n|t>t|i>ee|z>s
absentia æ>a|b>b|s>s|ɛ>e|n>n|ʃ>ti|ʌ>a
absolute æ>a|b>b|s>s|ʌ>o|l>l|u>u|t>te
absolutely æ>a|b>b|s>s|ʌ>o|l>l|u>u|t>te|l>l|i>y
absoluteness æ>a|b>b|s>s|ʌ>o|l>l|u>u|t>te|n>n|ɛ>e|s>ss
absolutes æ>a|b>b|s>s|ʌ>o|l>l|u>u|t>te|s>s
absolution æ>a|b>b|s>s|ʌ>o|l>l|u>u|ʃ>ti|ʌ>o|n>n
absolutism æ>a|b>b|s>s|ʌ>o|l>l|u>u|t>t|ɪ>i|z>s|ʌ;m>m
absolutist æ>a|b>b|s>s|ɪ>o|l>l|u>u|t>t|ɪ>i|s>s|t>t
absolve æ>a|b>b|z>s|ɑ>o|l>l|v>ve
absolved æ>a|b>b|z>s|ɑ>o|l>l|v>ve|d>d
absorb ʌ>a|b>b|z>s|ɔ>o|r>r|b>b
absorbed ʌ>a|b>b|z>s|ɔ>o|r>r|b>b|d>ed
absorbent ʌ>a|b>b|z>s|ɔ>o|r>r|b>b|ɛ>e|n>n|t>t
absorber ʌ>a|b>b|z>s|ɔ>o|r>r|b>b|ɝ>er
absorbers ʌ>a|b>b|z>s|ɔ>o|r>r|b>b|ɝ>er|z>s
absorbing ʌ>a|b>b|z>s|ɔ>o|r>r|b>b|ɪ>i|ŋ>ng
absorbs ʌ>a|b>b|z>s|ɔ>o|r>r|b>b|z>s
absorption ʌ>a|b>b|s>s|ɔ>o|r>r|p>p|ʃ>ti|ʌ>o|n>n
abstain æ>a|b>b|s>s|t>t|eɪ>ai|n>n
abstained æ>a|b>b|s>s|t>t|eɪ>ai|n>n|d>ed
abstaining æ>a|b>b|s>s|t>t|eɪ>ai|n>n|ɪ>i|ŋ>ng
abstention æ>a|b>b|s>s|t>t|ɛ>e|n>n|tʃ>ti|ʌ>o|n>n
abstentions æ>a|b>b|s>s|t>t|ɛ>e|n>n|tʃ>ti|ʌ>o|n>n|z>s
abstinence æ>a|b>b|s>s|t>t|ɪ>i|n>n|ɛ>e|n>n|s>ce
abstinent æ>a|b>b|s>s|t>t|ɪ>i|n>n|ɛ>e|n>n|t>t
abstract æ>a|b>b|s>s|t>t|r>r|æ>a|k>c|t>t
abstracted æ>a|b>b|s>s|t>t|r>r|æ>a|k>c|t>t|ɪ>e|d>d
abstraction æ>a|b>b|s>s|t>t|r>r|æ>a|k>c|ʃ>ti|ʌ>o|n>n
abstractions æ>a|b>b|s>s|t>t|r>r|æ>a|k>c|ʃ>ti|ʌ>o|n>n|z>s
abstracts æ>a|b>b|s>s|t>t|r>r|æ>a|k>c|t>t|s>s
abstruse ʌ>a|b>b|s>s|t>t|r>r|u>u|s>se
absurd ʌ>a|b>b|s>s|ɝ>ur|d>d
absurdities ʌ>a|b>b|s>s|ɝ>ur|d>d|ɪ>i|t>t|i>ie|z>s
absurdity ʌ>a|b>b|s>s|ɝ>ur|d>d|ɪ>i|t>t|i>y
absurdly ʌ>a|b>b|s>s|ɝ>ur|d>d|l>l|i>y
abt æ>a|b>b|t>t
abu æ>a|b>b|u>u
abundance ʌ>a|b>b|ʌ>u|n>n|d>d|ʌ>a|n>n|s>ce
abundant ʌ>a|b>b|ʌ>u|n>n|d>d|ʌ>a|n>n|t>t
abundantly ʌ>a|b>b|ʌ>u|n>n|d>d|ʌ>a|n>n|t>t|l>l|i>y
abuse ʌ>a|b>b|j;u>u|z>se
abused ʌ>a|b>b|j;u>u|z>se|d>d
abuser ʌ>a|b>b|j;u>u|z>s|ɝ>er
abusers ʌ>a|b>b|j;u>u|z>s|ɝ>er|z>s
abuses ʌ>a|b>b|j;u>u|s>s|ɪ>e|z>s
abusing ʌ>a|b>b|j;u>u|z>s|ɪ>i|ŋ>ng
abusive ʌ>a|b>b|j;u>u|s>s|ɪ>i|v>ve
abut ʌ>a|b>b|ʌ>u|t>t
abutting ʌ>a|b>b|ʌ>u|t>tt|ɪ>i|ŋ>ng
abysmal ʌ>a|b>b|ɪ>y|z>s|m>m|ʌ>a|l>l
abyss ʌ>a|b>b|ɪ>y|s>ss
ac ʌ>a|k>c
ac æ>a|k>c
aca æ>a|k>c|ʌ>a
acacia ʌ>a|k>c|eɪ>a|ʃ>ci|ʌ>a
academe æ>a|k>c|ʌ>a|d>d|i>e|m>me
academia æ>a|k>c|ʌ>a|d>d|i>e|m>m|i>i|ʌ>a
academic æ>a|k>c|ʌ>a|d>d|ɛ>e|m>m|ɪ>i|k>c
academically æ>a|k>c|ʌ>a|d>d|ɛ>e|m>m|ɪ>i|k>ca|l>ll|i>y
academician æ>a|k>c|ʌ>a|d>d|ɛ>e|m>m|ɪ>i|ʃ>ci|ʌ>a|n>n
academicians æ>a|k>c|ʌ>a|d>d|ɛ>e|m>m|ɪ>i|ʃ>ci|ʌ>a|n>n|z>s
academics æ>a|k>c|ʌ>a|d>d|ɛ>e|m>m|ɪ>i|k>c|s>s
academies ʌ>a|k>c|æ>a|d>d|ɛ>e|m>m|i>ie|z>s
academy ʌ>a|k>c|æ>a|d>d|ɛ>e|m>m|i>y
acadia ʌ>a|k>c|eɪ>a|d>d|i>i|ʌ>a
acapulco æ>a|k>c|ʌ>a|p>p|ʊ>u|l>l|k>c|oʊ>o
accede æ>a|k;s>cc|i>e|d>de
acceded æ>a|k;s>cc|i>e|d>d|ɪ>e|d>d
acceding æ>a|k;s>cc|i>e|d>d|ɪ>i|ŋ>ng
accelerate æ>a|k;s>cc|ɛ>e|l>l|ɝ>er|eɪ>a|t>te
accelerated æ>a|k;s>cc|ɛ>e|l>l|ɝ>er|eɪ>a|t>t|ɪ>e|d>d
accelerates æ>a|k;s>cc|ɛ>e|l>l|ɝ>er|eɪ>a|t>te|s>s
accelerating æ>a|k;s>cc|ɛ>e|l>l|ɝ>er|eɪ>a|t>t|ɪ>i|ŋ>ng
acceleration æ>a|k;s>cc|ɛ>e|l>l|ɝ>er|eɪ>a|ʃ>ti|ʌ>o|n>n
accelerator æ>a|k;s>cc|ɛ>e|l>l|ɝ>er|eɪ>a|t>t|ɝ>or
