ak æ>a|k>k
amalfitut(0) ʌ>a|m>m|æ>a|l>l|f>f|ɪ>i|t>t|ʌ>u|t>t
amalfitut(1) ʌ>a|m>m|ɑ>a|l>l|f>f|ɪ>i|t>t|ʌ>u|t>t
amalfitut(2) ɛ>a|m>m|æ>a|l>l|f>f|ɪ>i|t>t|ʌ>u|t>t
amalfitut(3) ɛ>a|m>m|ɑ>a|l>l|f>f|ɪ>i|t>t|ʌ>u|t>t
amalfitut(4) æ>a|m>m|æ>a|l>l|f>f|ɪ>i|t>t|ʌ>u|t>t
amalfitut(5) æ>a|m>m|ɑ>a|l>l|f>f|ɪ>i|t>t|ʌ>u|t>t
ap æ>a|p>p
bact b>b|æ>a|k>c|t>t
baf b>b|æ>a|f>f
barch b>b|ɝ>ar|tʃ>ch
barp b>b|ɝ>ar|p>p
bave b>b|eɪ>a|v>ve
bemwip b>b|ɛ>e|m>m|w>w|ɪ>i|p>p
berk b>b|ɝ>er|k>k
bevignuf(0) b>b|ɪ>e|v>v|ɪ>i|g>g|n>n|ʌ>u|f>f
bevignuf(1) b>b|ɛ>e|v>v|ɪ>i|g>g|n>n|ʌ>u|f>f
bi(0) b>b|aɪ>i
bi(1) b>b|ɪ>i
bice b>b|aɪ>i|s>ce
bive b>b|aɪ>i|v>ve
bloot b>b|l>l|u>oo|t>t
blork b>b|l>l|ɝ>or|k>k
bormorint b>b|ɝ>or|m>m|ɝ>or|ɪ>i|n>n|t>t
bramtich b>b|r>r|æ>a|m>m|t>t|ɪ>i|tʃ>ch
bremick(0) b>b|r>r|i>e|m>m|ɪ>i|k>ck
bremick(1) b>b|r>r|ɛ>e|m>m|ɪ>i|k>ck
bretmirt b>b|r>r|ɛ>e|t>t|m>m|ɝ>ir|t>t
brinbert b>b|r>r|ɪ>i|n>n|b>b|ɝ>er|t>t
broganoft(0) b>b|r>r|ɔ>o|g>g|æ>a|n>n|ɑ>o|f>f|t>t
broganoft(1) b>b|r>r|ɑ>o|g>g|æ>a|n>n|ɑ>o|f>f|t>t
chif tʃ>ch|i>i|f>f
chimdruff tʃ>ch|ɪ>i|m>m|d>d|r>r|ʌ>u|f>ff
chontriff tʃ>ch|ɔ>o|n>n|t>t|r>r|ɪ>i|f>ff
chort tʃ>ch|ɝ>or|t>t
chree tʃ>ch|r>re|i>e
chuf tʃ>ch|ʌ>u|f>f
chundelt tʃ>ch|ʌ>u|n>n|d>d|ɛ>e|l>l|t>t
chunfendilt tʃ>ch|ʌ>u|n>n|f>f|ɛ>e|n>n|d>d|ɪ>i|l>l|t>t
chur tʃ>ch|ɝ>ur
churt tʃ>ch|ɝ>ur|t>t
clabom(0) k>c|l>l|eɪ>a|b>b|ɑ>o|m>m
clabom(1) k>c|l>l|æ>a|b>b|ɑ>o|m>m
clant k>c|l>l|æ>a|n>n|t>t
clatim(0) k>c|l>l|ɛ>a|t>t|ɪ>i|m>m
clatim(1) k>c|l>l|æ>a|t>t|ɪ>i|m>m
clim k>c|l>l|ɪ>i|m>m
clinders k>c|l>l|ɪ>i|n>n|d>d|ɝ>er|s>s
clirt k>c|l>l|ɝ>ir|t>t
cratty k>c|r>r|æ>a|t>tt|i>y
creft k>c|r>r|ɛ>e|f>f|t>t
cremuck(0) k>c|r>r|i>e|m>m|ʌ>u|k>ck
cremuck(1) k>c|r>r|ɛ>e|m>m|ʌ>u|k>ck
crenidmoke(0) k>c|r>r|ɛ>e|n>n|ɪ>i|d>d|m>m|oʊ>o|k>ke
crenidmoke(1) k>c|r>r|i>e|n>n|ɪ>i|d>d|m>m|oʊ>o|k>ke
crift k>c|r>r|ɪ>i|f>f|t>t
crolnadibot(1) k>c|r>r|ɑ>o|l>l|n>n|ɛ>a|d>d|ɪ>i|b>b|ɑ>o|t>t
crolnadibot(10) k>c|r>r|ɔ>o|l>l|n>n|æ>a|d>d|ɪ>i|b>b|ɑ>o|t>t
crolnadibot(4) k>c|r>r|ɔ>o|l>l|n>n|ɛ>a|d>d|ɪ>i|b>b|ɑ>o|t>t
crolnadibot(7) k>c|r>r|ɑ>o|l>l|n>n|æ>a|d>d|ɪ>i|b>b|ɑ>o|t>t
daf d>d|æ>a|f>f
darlankert(0) d>d|ɝ>ar|l>l|æ>a|n>n|k>k|ɝ>er|t>t
darlankert(1) d>d|ɝ>ar|l>l|ɛ>a|n>n|k>k|ɝ>er|t>t
dat d>d|æ>a|t>t
daw d>d|ɑ>a|w>w
deast d>d|i>ea|s>s|t>t
debmer d>d|ɛ>e|b>b|m>m|ɝ>er
depate(0) d>d|i>e|p>p|eɪ>a|t>te
depate(1) d>d|ɛ>e|p>p|eɪ>a|t>te
depite(0) d>d|i>e|p>p|aɪ>i|t>te
depite(1) d>d|ɛ>e|p>p|aɪ>i|t>te
derl d>d|ɝ>er|l>l
desh d>d|ɛ>e|ʃ>sh
dess d>d|ɛ>e|s>ss
di(0) d>d|ɪ>i
di(1) d>d|aɪ>i
din d>d|ɪ>i|n>n
drait d>d|r>r|ɛ>ai|t>t
dreef d>d|r>re|i>e|f>f
dreker(0) d>d|r>r|ɛ>e|k>k|ɝ>er
dreker(1) d>d|r>r|i>e|k>k|ɝ>er
drepnort d>d|r>r|ɛ>e|p>p|n>n|ɝ>or|t>t
druter(0) d>d|r>r|u>u|t>t|ɝ>er
druter(1) d>d|r>r|ʌ>u|t>t|ɝ>er
dut d>d|ʌ>u|t>t
eb ɛ>e|b>b
ef ɛ>e|f>f
emulbatate(0) i>e|m>m|ʌ>u|l>l|b>b|æ>a|t>t|eɪ>a|t>te
emulbatate(1) ɛ>e|m>m|ʌ>u|l>l|b>b|æ>a|t>t|eɪ>a|t>te
emulbatate(2) i>e|m>m|ʌ>u|l>l|b>b|ɪ>a|t>t|eɪ>a|t>te
emulbatate(3) ɛ>e|m>m|ʌ>u|l>l|b>b|ɪ>a|t>t|eɪ>a|t>te
emulbatate(4) i>e|m>m|ʌ>u|l>l|b>b|ʌ>a|t>t|eɪ>a|t>te
emulbatate(5) ɛ>e|m>m|ʌ>u|l>l|b>b|ʌ>a|t>t|eɪ>a|t>te
fa(0) f>f|ɑ>a
fa(1) f>f|æ>a
fa(2) f>f|ɛ>a
farp f>f|ɑ>a|ɝ>r|p>p
faw f>f|ɔ>aw
feap f>f|i>ea|p>p
felly f>f|ɛ>e|l>ll|i>y
felm f>f|ɛ>e|l>l|m>m
felnadit(0) f>f|ɛ>e|l>l|n>n|æ>a|d>d|ɪ>i|t>t
felnadit(1) f>f|ɛ>e|l>l|n>n|ɪ>a|d>d|ɪ>i|t>t
felnadit(2) f>f|ɛ>e|l>l|n>n|ʌ>a|d>d|ɪ>i|t>t
fermabalt(0) f>f|ɝ>er|m>m|æ>a|b>b|æ>a|l>l|t>t
fermabalt(1) f>f|ɝ>er|m>m|ɪ>a|b>b|æ>a|l>l|t>t
fermabalt(2) f>f|ɝ>er|m>m|ɛ>a|b>b|æ>a|l>l|t>t
fermabalt(3) f>f|ɝ>er|m>m|æ>a|b>b|ɔ>a|l>l|t>t
fermabalt(4) f>f|ɝ>er|m>m|ɪ>a|b>b|ɔ>a|l>l|t>t
fermabalt(5) f>f|ɝ>er|m>m|ɛ>a|b>b|ɔ>a|l>l|t>t
fet f>f|ɛ>e|t>t
fisner f>f|ɪ>i|s>s|n>n|ɝ>er
flact f>f|l>l|æ>a|k>c|t>t
flait f>f|l>l|ɛ>ai|t>t
flimp f>f|l>l|ɪ>i|m>m|p>p
flunt f>f|l>l|ʌ>u|n>n|t>t
flup f>f|l>l|ʌ>u|p>p
fomlitant(0) f>f|ɑ>o|m>m|l>l|ɪ>i|t>t|æ>a|n>n|t>t
fomlitant(1) f>f|ɑ>o|m>m|l>l|aɪ>i|t>t|æ>a|n>n|t>t
fornalask(0) f>f|ɝ>or|n>n|æ>a|l>l|æ>a|s>s|k>k
fornalask(1) f>f|ɝ>or|n>n|ɪ>a|l>l|æ>a|s>s|k>k
fornalask(2) f>f|ɝ>or|n>n|ɛ>a|l>l|æ>a|s>s|k>k
framble f>f|r>r|æ>a|m>m|b>b|l>le
framtich f>f|r>r|æ>a|m>m|t>t|ɪ>i|tʃ>ch
frenitmork(0) f>f|r>r|i>e|n>n|ɪ>i|t>t|m>m|ɝ>or|k>k
frenitmork(1) f>f|r>r|ɛ>e|n>n|ɪ>i|t>t|m>m|ɝ>or|k>k
frimble f>f|r>r|ɪ>i|m>m|b>b|ʌ;l>le
frip f>f|r>r|ɪ>i|p>p
frop f>f|r>r|ɑ>o|p>p
frot f>f|r>r|ɑ>o|t>t
fu(0) f>f|ʌ>u
fu(1) f>f|j;u>u
fu(2) f>f|ʊ>u
fup f>f|ʌ>u|p>p
ga(0) g>g|eɪ>a
ga(1) g>g|æ>a
gice g>g|aɪ>i|s>ce
girtus g>g|ɝ>ir|t>t|ʌ>u|s>s
glack g>g|l>l|æ>a|k>ck
glamp g>g|l>l|æ>a|m>m|p>p
glant g>g|l>l|æ>a|n>n|t>t
glimpobot(0) g>g|l>l|ɪ>i|m>m|p>p|ɔ>o|b>b|ɑ>o|t>t
glimpobot(1) g>g|l>l|ɪ>i|m>m|p>p|oʊ>o|b>b|ɑ>o|t>t
glist g>g|l>l|ɪ>i|s>s|t>t
gloot g>g|l>l|u>oo|t>t
grack g>g|r>r|æ>a|k>ck
gratty g>g|r>r|æ>a|t>tt|i>y
guddy g>g|ʌ>u|d>dd|i>y
happon(0) h>h|æ>a|p>pp|ɑ>o|n>n
heaf h>h|i>ea|f>f
hedfert h>h|ɛ>e|d>d|f>f|ɝ>er|t>t
herm h>h|ɝ>er|m>m
het h>h|ɛ>e|t>t
ib ɪ>i|b>b
ig ɪ>i|g>g
ik ɪ>i|k>k
ip ɪ>i|p>p
jate dʒ>j|ɛ>a|t>te
jeltlic dʒ>j|ɛ>e|l>l|t>t|l>l|ɪ>i|k>c
jickfen dʒ>j|ɪ>i|k>ck|f>f|ɛ>e|n>n
jirt dʒ>j|ɝ>ir|t>t
jornaloast(0) dʒ>j|ɝ>or|n>n|æ>a|l>l|oʊ>oa|s>s|t>t
jornaloast(1) dʒ>j|ɝ>or|n>n|ɪ>a|l>l|oʊ>oa|s>s|t>t
jornaloast(2) dʒ>j|ɝ>or|n>n|ʌ>a|l>l|oʊ>oa|s>s|t>t
keast k>k|i>ea|s>s|t>t
keest k>ke|i>e|s>s|t>t
kelm k>k|ɛ>e|l>l|m>m
ki(0) k>k|ɪ>i
ki(1) k>k|aɪ>i
klup k>k|l>l|ʌ>u|p>p
knap n>kn|æ>a|p>p
knop n>kn|ɑ>o|p>p
ko(0) k>k|oʊ>o
ko(1) k>k|ɑ>o
ku(0) k>k|j;u>u
ku(1) k>k|ʌ>u
lat l>l|æ>a|t>t
lin l>l|ɪ>i|n>n
linuf(0) l>l|ɪ>i|n>n|ʌ>u|f>f
linuf(1) l>l|aɪ>i|n>n|ʌ>u|f>f
loast l>l|oʊ>oa|s>s|t>t
lunaf(0) l>l|u>u|n>n|æ>a|f>f
lunaf(1) l>l|ʌ>u|n>n|æ>a|f>f
lutacrift(0) l>l|ʌ>u|t>t|ʌ>a|k>c|r>r|ɪ>i|f>f|t>t
lutacrift(1) l>l|u>u|t>t|ʌ>a|k>c|r>r|ɪ>i|f>f|t>t
lutacrift(2) l>l|ʌ>u|t>t|ɪ>a|k>c|r>r|ɪ>i|f>f|t>t
lutacrift(3) l>l|u>u|t>t|ɪ>a|k>c|r>r|ɪ>i|f>f|t>t
lutacrift(4) l>l|ʌ>u|t>t|æ>a|k>c|r>r|ɪ>i|f>f|t>t
lutacrift(5) l>l|u>u|t>t|æ>a|k>c|r>r|ɪ>i|f>f|t>t
mact m>m|æ>a|k>c|t>t
marl m>m|ɝ>ar|l>l
mave m>m|ɛ>a|v>ve
medferm m>m|ɛ>e|d>d|f>f|ɝ>er|m>m
meest m>me|i>e|s>s|t>t
mest m>m|ɛ>e|s>s|t>t
mi(0) m>m|ɪ>i
mi(1) m>m|aɪ>i
mib m>m|ɪ>i|b>b
mim m>m|ɪ>i|m>m
mip m>m|ɪ>i|p>p
mirtus m>m|ɝ>ir|t>t|ʌ>u|s>s
mo(0) m>m|ɑ>o
mo(1) m>m|oʊ>o
mogger m>m|ɑ>o|g>gg|ɝ>er
morlingdon(1) m>m|ɝ>or|l>l|i>i|ŋ>ng|d>d|ɑ>o|n>n
mub m>m|ʌ>u|b>b
mubkan m>m|ʌ>u|b>b|k>k|æ>a|n>n
mully m>m|ʌ>u|l>ll|i>y
munt m>m|ʌ>u|n>n|t>t
nade n>n|eɪ>a|d>de
nas n>n|æ>a|s>s
ni(0) n>n|ɪ>i
ni(1) n>n|aɪ>i
nifpate n>n|ɪ>i|f>f|p>p|eɪ>a|t>te
nirch n>n|ɝ>ir|tʃ>ch
nup n>n|ʌ>u|p>p
