,0,1,2
aaron,1.1833e-06,ɛ1>aa|r>r|ʌ0>o|n>n,
ab,5.916399999999999e-07,ʌ1>a|b>b,æ1>a|b>b
aback,6.9025e-06,ʌ0>a|b>b|æ1>a|k>ck,
abacus,1.9721e-07,æ1>a|b>b|ʌ0>a|k>c|ʌ0>u|s>s,
abandon,3.3526e-06,ʌ0>a|b>b|æ1>a|n>n|d>d|ʌ0>o|n>n,
abandoned,3.9443e-06,ʌ0>a|b>b|æ1>a|n>n|d>d|ʌ0>o|n>n|d>ed,
abandoning,1.1833e-06,ʌ0>a|b>b|æ1>a|n>n|d>d|ʌ0>o|n>n|ɪ0>i|ŋ>ng,
abandonment,7.888600000000001e-07,ʌ0>a|b>b|æ1>a|n>n|d>d|ʌ0>o|n>n|m>m|ɛ0>e|n>n|t>t,
abashed,7.2969e-06,ʌ0>a|b>b|æ1>a|ʃ>sh|t>ed,
abate,7.888600000000001e-07,ʌ0>a|b>b|eɪ1>a|t>te,
abated,1.5777000000000002e-06,ʌ0>a|b>b|eɪ1>a|t>t|ɪ0>e|d>d,
abatement,3.9443000000000007e-07,ʌ0>a|b>b|eɪ1>a|t>te|m>m|ɛ0>e|n>n|t>t,
abbeville,1.9721e-07,æ1>a|b>bbe|v>v|ɪ0>i|l>lle,
abbey,6.1136e-06,æ1>a|b>bb|i0>ey,
abbie,3.9443000000000007e-07,æ1>a|b>bb|i0>ie,
abbot,5.1276e-06,æ1>a|b>bb|ʌ0>o|t>t,
abbott,1.9721e-07,æ1>a|b>bb|ʌ0>o|t>tt,
abbreviated,3.9443000000000007e-07,ʌ0>a|b>bb|r>r|i1>e|v>v|i0>i|eɪ2>a|t>t|ɪ0>e|d>d,
abbreviation,3.9443000000000007e-07,ʌ0>a|b>bb|r>r|i2>e|v>v|i0>i|eɪ1>a|ʃ>ti|ʌ0>o|n>n,
abby,5.916399999999999e-07,æ1>a|b>bb|i0>y,
abdallah,1.7749000000000002e-06,æ2>a|b>b|d>d|æ1>a|l>ll|ʌ0>ah,
abdicate,3.9443000000000007e-07,æ1>a|b>b|d>d|ɪ0>i|k>c|eɪ2>a|t>te,
abdicated,3.9443000000000007e-07,æ1>a|b>b|d>d|ɪ0>i|k>c|eɪ2>a|t>t|ɛ0>e|d>d,
abdication,1.9721e-07,æ2>a|b>b|d>d|ɪ0>i|k>c|eɪ1>a|ʃ>ti|ʌ0>o|n>n,
abduction,3.9443000000000007e-07,æ0>a|b>b|d>d|ʌ1>u|k>c|ʃ>ti|ʌ0>o|n>n,
abdul,1.9721e-07,æ0>a|b>b|d>d|u1>u|l>l,
abdullah,1.5777000000000002e-06,æ2>a|b>b|d>d|ʌ1>u|l>ll|ʌ0>ah,
abe,7.6914e-06,eɪ1>a|b>be,
abed,2.9582e-06,ʌ0>a|b>b|ɛ1>e|d>d,
abel,1.913e-05,eɪ1>a|b>b|ɛ0>e|l>l,
abercrombie,1.1833e-06,æ2>a|b>b|ɝ0>er|k>c|r>r|ɑ1>o|m>m|b>b|i0>ie,
abet,3.9443000000000007e-07,ʌ0>a|b>b|ɛ1>e|t>t,
abetted,3.9443000000000007e-07,ʌ0>a|b>b|ɛ1>e|t>tt|ɪ0>e|d>d,
abeyance,1.9721e-07,ʌ0>a|b>b|eɪ1>ey|ʌ0>a|n>n|s>ce,
abhor,3.9443000000000007e-07,æ0>a|b>b|h>h|ɔ1>o|r>r,
abhorred,7.888600000000001e-07,ʌ0>a|b>b|h>h|ɔ1>o|r>rr|d>ed,
abhorrence,9.860700000000002e-07,ʌ0>a|b>b|h>h|ɔ1>o|r>rr|ɛ0>e|n>n|s>ce,
